Ref,Eng,Heb6,Heb5,Heb4,Heb3,Heb2,Heb1,Highlight,Morph,Strongs
Gen.2.10-09,,,,,,הָיָה,וְ,,Hc/Vqq3ms,H9001=ו=seq/H1961=הָיָה=to be
Gen.2.10-10,,,,,,אַרְבָּעָה,לְ,,HR/Acfsa,H9005=ל=to/H0702=אַרְבַּע=four
Gen.2.10-11,,,,,,׃,רָאשִׁים,,HNcmpa,H7218a=רֹאשׁ=head_§4_first|start/H9016=׃=verseEnd
Gen.2.11-01,,,,,,,שֵׁם,,HNcbsc,H8034=שֵׁם=name
Gen.2.11-02,,,,,,אֶחָד,הָ,,HTd/Acbsa,H9009=ה=the/H0259=אֶחָד=one
Gen.2.11-03,,,,,,,פִּישׁוֹן,,HNpl,H6376=פִּישׁוֹן=Pishon_§Pishon@Gen.2.11
Gen.2.11-04,,,,,,,הוּא,,HPp3ms,H1931=הוּא=he|she|it
Gen.2.11-05,,,,,,סֹּבֵ֗ב,הָ,,HTd/Vqrmsa,H9009=ה=the/H5437=סָבַב=to turn_§1_turn|bring_around
Gen.2.11-06,,,,,,,אֵ֚ת,,HTo,H0853=אֵת=obj.
Gen.2.11-07,,,,,,־,כָּל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.2.11-08,,,,,,,אֶרֶץ,,HNcbsc,H0776=אֶ֫רֶץ=land_§2_country|field
Gen.2.11-09,,,,,,חֲוִילָה,הָ,,HTd/Npl,H9009=ה=the/H2341=חֲוִילָה=Havilah_§Havilah@Gen.2.11
Gen.2.11-10,,,,,,־,אֲשֶׁר,,HTr,H0834a=אֲשֶׁר=which/H9014=־=link
Gen.2.11-11,,,,,,,שָׁם,,HD,H8033=שָׁם=there
Gen.2.11-12,,,,,׃,זָּהָב,הָ,,HTd/Ncbsa,H9009=ה=the/H2091=זָהָב=gold/H9016=׃=verseEnd
Gen.2.12-01,,,,,,זֲהַב,וּ,,HC/Ncbsc,H9002=ו=and/H2091=זָהָב=gold
Gen.2.12-02,,,,,,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§2_country|field
Gen.2.12-03,,,,,,הוא,הָ,,HTd/Pp3fs,H9009=ה=the/H1931=הוּא=he|she|it
Gen.2.12-04,,,,,,,טוֹב,,HAabsa,H2896a=טוֹב=pleasant
Gen.2.12-05,,,,,,,שָׁם,,HD,H8033=שָׁם=there
Gen.2.12-06,,,,,,בְּדֹלַח,הָ,,HTd/Ncbsa,H9009=ה=the/H0916=בְּדֹ֫לַח=bdellium
Gen.2.12-07,,,,,,אֶבֶן,וְ,,HC/Ncbsc,H9002=ו=and/H0068=אֶ֫בֶן=stone_§_stone
Gen.2.12-08,,,,,׃,שֹּׁהַם,הָ,,HTd/Ncbsa,H9009=ה=the/H7718=שֹׁ֫הַם=onyx/H9016=׃=verseEnd
Gen.2.13-01,,,,,־,שֵׁם,וְ,,HC/Ncbsc,H9002=ו=and/H8034=שֵׁם=name/H9014=־=link
Gen.2.13-02,,,,,,נָּהָר,הָ,,HTd/Ncbsa,H9009=ה=the/H5104=נָהָר=river
Gen.2.13-03,,,,,,שֵּׁני,הָ,,HTd/Aobsa,H9009=ה=the/H8145=שֵׁנִי=second
Gen.2.13-04,,,,,,,גִּיחוֹן,,HNpl,H1521=גִּיחוֹן=Gihon_§Gihon@Gen.2.13
Gen.2.13-05,,,,,,,הוּא,,HPp3ms,H1931=הוּא=he|she|it
Gen.2.13-06,,,,,,סּוֹבֵב,הָ,,HTd/Vqrmsa,H9009=ה=the/H5437=סָבַב=to turn_§1_turn|bring_around
Gen.2.13-07,,,,,,,אֵת,,HTo,H0853=אֵת=obj.
Gen.2.13-08,,,,,,־,כָּל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.2.13-09,,,,,,,אֶרֶץ,,HNcbsc,H0776=אֶ֫רֶץ=land_§2_country|field
Gen.2.13-10,,,,,,׃,כּוּשׁ,,HNpl,H3568a=כּוּשׁ=Cush_§Cush@Gen.2.13/H9016=׃=verseEnd
Gen.2.14-01,,,,,,שֵׁם,וְ,,HC/Ncbsc,H9002=ו=and/H8034=שֵׁם=name
Gen.2.14-02,,,,,,נָּהָר,הָ,,HTd/Ncbsa,H9009=ה=the/H5104=נָהָר=river
Gen.2.14-03,,,,,,שְּׁלִישִׁי,הָ,,HTd/Aobsa,H9009=ה=the/H7992=שְׁלִישִׁי=third
Gen.2.14-04,,,,,,,חִדּקֶל,,HNpl,H2313=חִדֶּ֫קֶל=Tigris_§Tigris@Gen.2.14
Gen.2.14-05,,,,,,,הוּא,,HPp3ms,H1931=הוּא=he|she|it
Gen.2.14-06,,,,,,הֹלֵךְ,הָ,,HTd/Vqrmsa,H9009=ה=the/H1980=הָלַךְ=to go_§1_walk|move
Gen.2.14-07,,,,,,,קִדְמַת,,HNcfsc,H6926=קִדְמָה=east
Gen.2.14-08,,,,,,,אַשּׁוּר,,HNpl,H0804=אַשּׁוּר=Asshur_§Assyria@Gen.2.14
Gen.2.14-09,,,,,נָּהָר,הָ,וְ,,HC/Td/Ncbsa,H9002=ו=and/H9009=ה=the/H5104=נָהָר=river
Gen.2.14-10,,,,,,רְבִיעי,הָ,,HTd/Aobsa,H9009=ה=the/H7243=רְבִיעִי=fourth
Gen.2.14-11,,,,,,,הוּא,,HPp3ms,H1931=הוּא=he|she|it
Gen.2.14-12,,,,,,׃,פְרָת,,HNpl,H6578=פְּרָת=Euphrates_§Euphrates@Gen.2.14/H9016=׃=verseEnd
Gen.2.15-01,,,,,,יִּקַּח,וַ,,Hc/Vqw3ms,H9001=ו=seq/H3947=לָקַח=to take_§1_take
Gen.2.15-02,,,,,,,יְהוָה,,HNpt,H3068=יהוה=YHWH|Yahweh_§LORD|God@Gen.1.1
Gen.2.15-03,,,,,,,אֱלֹהים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.2.15-04,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.2.15-05,,,,,,אָדָם,הָ,,HTd/Ncbsa,H9009=ה=the/H0120=אָדָם=man_§man|Adam@Gen.2.19
Gen.2.15-06,,,,,הוּ,יַּנִּחֵ,וַ,,Hc/Vhw3ms/Sp3ms,H9001=ו=seq/H5117=נוּחַ=to rest/H9033=Os3m=him
Gen.2.15-07,,,,,־,גַן,בְ,,HR/Ncbsc,H9003=ב=in/H1588=גַּן=garden_§_garden/H9014=־=link
Gen.2.15-08,,,,,,,עֵדֶן,,HNpl,H5731b=עֵ֫דֶן=Eden_§Eden@Gen.2.8
Gen.2.15-09,,,,,הּ,עָבְדָ,לְ,,HR/Vqcc/Sp3fs,H9005=ל=to/H5647=עָבַד=to serve_§3_labour|do(work)/H9034=Os3f=her
Gen.2.15-10,,,׃,הּ,שָׁמְרָ,לְ,וּ,,HC/R/Vqcc/Sp3fs,H9002=ו=and/H9005=ל=to/H8104=שָׁמַר=to keep_§2_guard/H9034=Os3f=her/H9016=׃=verseEnd
Gen.2.16-01,,,,,,יְצַו,וַ,,Hc/Vpw3ms,H9001=ו=seq/H6680=צָוָה=to command
Gen.2.16-02,,,,,,,יְהוָה,,HNpt,H3068=יהוה=YHWH|Yahweh_§LORD|God@Gen.1.1
Gen.2.16-03,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.2.16-04,,,,,,־,עַל,,HR,H5921a=עַל=upon/H9014=־=link
Gen.2.16-05,,,,,,אָדָם,הָ,,HTd/Ncbsa,H9009=ה=the/H0120=אָדָם=man_§man|Adam@Gen.2.19
Gen.2.16-06,,,,,,אמר,לֵ,,HR/Vqcc,H9005=ל=to/H0559=אָמַר=to say
Gen.2.16-07,,,,,,כֹּל,מִ,,HR/Ncbsc,H9006=מ=from/H3605=כֹּל=all
Gen.2.16-08,,,,,,־,עֵץ,,HNcbsc,H6086=עֵץ=tree_§2_tree/H9014=־=link
Gen.2.16-09,,,,,,גָּן,הָ,,HTd/Ncbsa,H9009=ה=the/H1588=גַּן=garden_§_garden
Gen.2.16-10,,,,,,,אָכֹל,,HVqaa,H0398=אָכַל=to eat
Gen.2.16-11,,,,,,׃,תֹּאכֵל,,HVqi2ms,H0398=אָכַל=to eat/H9016=׃=verseEnd
Gen.2.17-01,,,,,עֵ֗ץ,מֵ,וּ,,HC/R/Ncbsc,H9002=ו=and/H9006=מ=from/H6086=עֵץ=tree_§2_tree
Gen.2.17-02,,,,,,דַּעַת,הָ,,HTd/Ncfsc,H9009=ה=the/H1847=דַּ֫עַת=knowledge
Gen.2.17-03,,,,,,,טוֹב,,HAabsa,H2896b=טוֹב=good
Gen.2.17-04,,,,,,רָע,וָ,,HC/Aabsa,H9002=ו=and/H7451b=רַע=evil
Gen.2.17-05,,,,,,,לֹא,,HTn,H3808=לֹא=not
Gen.2.17-06,,,,,,,תֹאכַל,,HVqi2ms,H0398=אָכַל=to eat
Gen.2.17-07,,,,,,נּוּ,מִמֶּ,,HRd/Sp3ms,H4480a=מִן־=from/H9033=Os3m=him
Gen.2.17-08,,,,,,,כִּ֗י,,HTc,H3588a=כִּי=for
Gen.2.17-09,,,,,,יוֹם,בְּ,,HR/Ncbsc,H9003=ב=in/H3117=יוֹם=day_§1_day
Gen.2.17-10,,,,,,ךָ,אֲכָלְ,,HVqcc/Sp2ms,H0398=אָכַל=to eat/H9041=Ss2m=you
Gen.2.17-11,,,,,,נּוּ,מִמֶּ,,HRd/Sp3ms,H4480a=מִן־=from/H9033=Os3m=him
Gen.2.17-12,,,,,,,מוֹת,,HVqaa,H4191=מוּת=to die
Gen.2.17-13,,,,,,׃,תָּמוּת,,HVqi2ms,H4191=מוּת=to die/H9016=׃=verseEnd
Gen.2.18-01,,,,,,יֹּאמֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H0559=אָמַר=to say
Gen.2.18-02,,,,,,,יְהוָה,,HNpt,H3068=יהוה=YHWH|Yahweh_§LORD|God@Gen.1.1
Gen.2.18-03,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.2.18-04,,,,,,־,לֹא,,HTn,H3808=לֹא=not/H9014=־=link
Gen.2.18-05,,,,,,,טוֹב,,HAabsa,H2896a=טוֹב=pleasant
Gen.2.18-06,,,,,,,הֱיוֹת,,HVqcc,H1961=הָיָה=to be
Gen.2.18-07,,,,,,אָדָם,הָ,,HTd/Ncbsa,H9009=ה=the/H0120=אָדָם=man_§man|Adam@Gen.2.19
Gen.2.18-08,,,,,וֹ,בַדּ,לְ,,HR/Ncbsc/Sp3ms,H9005=ל=to/H0905=בַּד=alone_§2_alone/H9043=Ss3m=he
Gen.2.18-09,,,,,,־,אֶעֱשֶׂהּ,,HVqi1cs,H6213a=עָשָׂה=to make_§1_make(OBJECT)/H9014=־=link
Gen.2.18-10,,,,,,וֹ,לּ,,HRd/Sp3ms,H9005=ל=to/H9033=Os3m=him
Gen.2.18-11,,,,,,,עֵזֶר,,HNcbsa,H5828=עֵ֫זֶר=helper
Gen.2.18-12,,,,׃,וֹ,נֶגְדּ,כְּ,,HR/Ncbsc/Sp3ms,H9004=כ=like/H5048=נֶ֫גֶד=before/H9033=Os3m=him/H9016=׃=verseEnd
Gen.2.19-01,,,,,,יִּצֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H3335=יָצַר=to form_§1_formed
Gen.2.19-02,,,,,,,יְהוָה,,HNpt,H3068=יהוה=YHWH|Yahweh_§LORD|God@Gen.1.1
Gen.2.19-03,,,,,,,אֱלֹהִ֜ים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.2.19-04,,,,,,־,מִן,,HR,H4480a=מִן־=from/H9014=־=link
Gen.2.19-05,,,,,,אֲדָמָ֗ה,הָ,,HTd/Ncfsa,H9009=ה=the/H0127=אֲדָמָה=land_§1_soil
Gen.2.19-06,,,,,,־,כָּל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.2.19-07,,,,,,,חַיַּת,,HNcfsc,H2416c=חַיָּה=living thing
Gen.2.19-08,,,,,,שָּׂדֶה,הָ,,HTd/Ncbsa,H9009=ה=the/H7704b=שָׂדֶה=field_§2_country|field
Gen.2.19-09,,,,,,אֵת,וְ,,HC/To,H9002=ו=and/H0853=אֵת=obj.
Gen.2.19-10,,,,,,־,כָּל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.2.19-11,,,,,,,עוֹף,,HNcbsc,H5775=עוֹף=bird
Gen.2.19-12,,,,,,שָּׁמַיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H8064=שָׁמַיִם=heaven
